conm,gvkey,datafqtr,bkvq,atq,ltq,cstkq,sic,saleq,isin,sedol,dup
THE FAR PROPERTY CO LTD,321608,2018Q1,,1479.422,624.25598,388.51001,6500,,BW0000001551,BZB0XN7,0
JILIN JINGUAN ELECTRIC CO,321612,2018Q1,1041.5615,4768.2285,1329.925,262.2626,3613,149.88741,CNE1000026Z2,BYXH2L0,0
XINJIANG WINKA TIMES DEPART,321613,2018Q1,1212.1593,2820.115,1482.452,240,5311,974.6001,,BYSTM99,0
X-TRADE BROKERS DOM,321614,2018Q1,456.56204,919.84802,461.51099,5.869,6211,,PLXTRDM00011,BZ059D5,0
WILSON THERAPEUTICS AB,321616,2018Q1,368.13199,513.73999,80.975998,432.76401,2836,,SE0008293674,BYQNLM9,0
BUIMA GROUP INC,321619,2018Q1,654.87305,1043.6851,344.00601,307,7363,231.179,KYG1676E1035,BD6SNH6,0
MONETA MONEY BANK AS,321620,2018Q1,24863,184794,158495,511,6020,,CZ0008040318,BD3CQ16,0
SUZHOU SHIJIA SCIENCE & TECH,321623,2018Q1,558.66046,1889.304,702.58099,102.5065,3550,269.55319,CNE1000026V1,BYV7L71,0
HOTEL CHOCOLAT GROUP PLC,321624,2018Q1,36.964897,78.238899,38.726002,.1128,5400,35.854301,GB00BYZC3B04,BYZC3B0,0
HAITAI CONFECTIONERY & FOODS,321625,2018Q1,87969.656,814591.13,528885.44,14558.411,2000,170194.63,KR7101530004,BYZ7LT9,0
FIRST CAPITAL SECURITIES CO,321630,2018Q1,8978.333,35236.668,25984.779,3502.3999,6211,,CNE1000027G0,BD2YFQ1,0
UNIPER SE,321632,2018Q1,9994,42202,29523,622,4991,21039,DE000UNSE018,BZ6CZ43,0
MITRA PEMUDA TBK (PT),321634,2018Q1,,259232.61,122174.92,77000,1540,50459.133,ID1000136807,BDDJSW2,0
BANK GANESHA TBK (PT),321641,2018Q1,,4934893,3798060,1117506,6020,,ID1000137003,BYYT1R4,0
ASN BROKER PUBLIC CO LTD,321645,2018Q1,229.45099,276.82199,34.526001,65,6411,28.854,TH7188010006,BYQNCM6,0
TEM HOLDINGS LTD,321647,2018Q1,,,,,3357,27.469,,BYYGB31,0
COIMA RES SPA,321648,2018Q1,399.55701,647.59302,248.007,14.451,6531,,IT0005136681,BYSVKN5,0
REDBUBBLE LTD,321653,2018Q1,23.456999,72.587997,39.669998,72.079002,7370,51.154499,AU000000RBL2,BYN5902,0
HUNAN BAILI ENGINEERING SCI,321659,2018Q1,798.46191,2174.7998,1188.27,224,1600,178.92731,CNE100002GD2,BYQ7Q60,0
WEI LONG GRAPE WINE CO LTD,321661,2018Q1,1355.0737,1946.7939,545.297,229.6467,2084,223.2623,CNE100002797,BYXDCG3,0
BANGKOK SHEET METAL PCL,321663,2018Q1,687.138,938.745,245.118,220,3440,214.505,TH7207010003,BYZJSS3,0
BID CORP(NEW),321670,2018Q1,10403.717,55698.148,31098.574,5428.0161,6799,,ZAE000216537,BZBFKT7,0
1ST GROUP LTD,321671,2018Q1,.48280013,6.2326002,1.3660001,23.27,7370,.8477,AU0000001ST0,BYL7665,0
STANDREW SA,321672,2018Q1,4.8080006,19.92,15.07,.15099999,2400,6.3969998,PLSTNDR00019,BB36HV1,0
AXIA CORP LTD,321675,2018Q1,64.663704,123.8848,59.186001,.054200001,5700,67.1642,ZW0009012288,BZ3G5F9,0
I2 DEVELOPMENT SA,321677,2018Q1,180.0665,495.87881,265.24191,9.6999998,6552,,PLI2DVL00014,BYQPRB6,0
NANTONG SQUARE COLD CHAIN,321678,2018Q1,1419.1768,1812.4493,317.22,210.8213,3585,236.23,CNE100002BB7,BYZ79V7,0
MANULIFE US REIT,321681,2018Q1,,1355.4561,516.06201,754.71399,6798,,SG1CI1000004,BYV9SY3,0
AL YAMAMAH STEEL INDUSTRIES,321687,2018Q1,794.685,1127.3959,325.19299,508,3312,252.2429,SA1420I0KC11,BD9XZF0,0
AS LHV GROUP,321689,2018Q1,122.75502,1930.839,1789.069,25.767,6020,,EE3100073644,BD9Y4M3,0
MYBUCKS SA,321691,2018Q1,7.3967943,170.7074,153.994,11.6656,6020,,LU1404975507,BZ6VT26,0
D & O HOME COLLECTION CO LTD,321696,2018Q1,1645.9242,4576.7568,1703.542,133.3651,3260,756.51837,CNE100002BK8,BYMLND2,0
HANGZHOU ZHONGYA MACHINERY,321697,2018Q1,1373.2142,2158.6218,705.46997,270,3550,150.8643,CNE1000027N6,BDGLG09,0
SIGNIFY NV,321698,2018Q1,26,6405,4203,2129,3640,1501,NL0011821392,BYY7VY5,0
YONG PYONG RESORT CO LTD,321707,2018Q1,404671.28,856317.56,439476,240666.67,7011,59795.207,KR7070960000,BZ01SV4,0
BEIJING E-TECHSTAR CO LTD,321709,2018Q1,626.42255,847.06708,213.815,121.856,7373,41.916599,CNE1000027P1,BYXPS27,0
XINJIANG TIANSHUN SUPPLY,321710,2018Q1,437.02859,736.85919,293.866,74.68,4731,139.8911,CNE1000027H8,BYYLF12,0
CLEOPATRA HOSPITAL,321711,2018Q1,1179.7799,2055.5889,634.77899,800,8060,347.15649,EGS729J1C018,BYY7D05,0
CLEAN MOTION AB,321715,2018Q1,19.312998,53.833,34.296001,6.9815001,3751,1.913,SE0008216303,BD971Z4,0
QUASER MACHINE TOOLS INC,321717,2018Q1,1056.5421,2177.4741,1115.986,352.5,3541,411.75101,TW0004563002,BD1DN76,0
LUKARDI SPOLKA AKCYJNA,321718,2018Q1,.18829998,1.0962,.81,.66600001,7370,.9763,PLSAP0000018,BD6C356,0
LS TECH-HOMES SA,321719,2018Q1,2.562006,108.577,104.463,17.431,2821,15.876,PLLSTHM00015,B7ZZZ69,0
PARADOX INTERACTIVE AB,321720,2018Q1,633.30005,922.96503,212.57401,.528,7372,266.98199,SE0008294953,BD4F658,0
NANOLOGICA AB,321724,2018Q1,-4.2680006,19.573999,22.906,1.893,2836,1.051,SE0005454873,BYZ5QX2,0
7FIT SA,321725,2018Q1,1.3303002,4.4141002,3.046,.1793,5400,2.9231,PLTRCPS00016,B7W76S7,0
GTN LTD,321731,2018Q1,69.25499,413.70999,187.379,444.98099,7311,64.959,AU000000GTN3,BYQPN52,0
HUBEI JIUZHIYANG INFRARED SY,321732,2018Q1,1167.568,1272.4189,97.607002,120,3829,78.748299,CNE1000027R7,BYXNTC8,0
SASOL INZALO PUBLIC LTD,321734,2018Q1,,6905,7635,,2800,,ZAE000210050,BYV0R27,0
SKSHU PAINT CO LTD,321737,2018Q1,946.66174,2128.8,1007.988,102.1812,2851,388.87271,CNE1000027D7,BYY7YQ8,0
CASPAR ASSET MANAGEMENT SA,321740,2018Q1,12.3703,14.3647,1.6802,1.9724,6200,,PLCSPAM00017,B683938,0
HUONS CO LTD,321741,2018Q1,130901.46,210933.17,77967.398,3404.1411,2834,74035,KR7243070000,BYQRRK1,0
CHINA NUCLEAR ENGINEERING,321742,2018Q1,10660.427,76664.586,65443.07,2625,1600,8878.04,CNE100002896,BYY7YM4,0
LAZURDE COMP FOR JEWELRY,321743,2018Q1,418.40973,1702.6104,1283.598,430,3911,554.63342,SA1430IHULH1,BYQLQY0,0
AUTO PARTNER SA,321744,2018Q1,262.46701,534.19,266.543,12.945,5010,253.92999,PLATPRT00018,BDC5PF3,0
LAURITZ.COM GROUP AS,321745,2018Q1,-121.17302,430.52399,366.93701,4.079,5961,28.959,DK0060733368,BYSXY28,0
NORDIC WATERPROOFING HLDGS,321746,2018Q1,193.09998,1914,862.90002,30,2950,474,DK0060738409,BYT2S00,0
SHANGHAI HUGONG ELECTRIC,321754,2018Q1,632.32898,874.5766,209.76401,200,3540,153.9651,CNE1000029B7,BYQPN07,0
BONAVA AB,321757,2018Q1,,20498,13729,6764,6552,,SE0008091581,BZBXJW7,0
ACME LABORATORIES LTD,321761,2018Q1,17380.287,30287.705,12907.267,2116.0171,2834,3572.5122,BD0491ACME00,BYQJSG0,0
ZHEJIANG XINGUANG PHARMA,321762,2018Q1,728.93109,797.8175,59.126999,160,2834,84.335297,CNE1000027T3,BYQ3LS5,0
HUNAN SUNDY SCIENCE & TECH,321766,2018Q1,451.14886,543.88867,85.372002,200,3823,33.620899,CNE1000027Q9,BYSYTN7,0
XIAN GLOBAL PRINTING CO LTD,321767,2018Q1,510.09039,789.4931,252.217,150,2650,120.3517,CNE1000027Y3,BYMJ6M6,0
LIVEHIRE LTD,321793,2018Q1,34.042198,37.5485,1.227,46.5345,7370,.42250001,AU000000LVH1,BZBHZ76,0
FRANCAISE DE LENERGIE SAS,321801,2018Q1,7.7467041,80.269203,28.278999,5.0651999,1311,1.6754,FR0013030152,BZ1FF70,0
CHONGQING SOKON INDUSTRIAL,321802,2018Q1,4906.8008,25280.924,19081.787,909.20001,3711,6256.8721,CNE1000028B9,BZ8VFD7,0
GOMSPACE GROUP AB,321803,2018Q1,216.01401,414.341,118.245,1.985,3669,37.737999,SE0008348304,BYVG9J6,0
SWEDENCARE AB,321808,2018Q1,29.698,105.448,25.441,.78899997,2834,21.684999,SE0008294078,BDHL987,0
FRASERS LOGISTICS & INDUST,321814,2018Q1,,1987.0811,647.34497,1339.736,6798,,SG1CI9000006,BYYFHZ2,0
HAVANNA HOLDING SA,321819,2018Q1,335.17322,770.711,374.29599,46.976101,5812,469.32251,ARHAVH300038,BD044N3,0
GRAPHEX MINING LTD,321826,2018Q1,,6.9679999,.34799999,12.9009,1400,,AU000000GPX0,BD2WZH6,0
NETBAY PCL,321827,2018Q1,452.29901,546.771,93.156998,200,7370,86.760002,TH7163010005,BD0P351,0
SILLO MARITIME PERDANA TBK,321828,2018Q1,,187.1468,113.506,17.816601,4400,12.3283,ID1000137102,BDHBG64,0
URZ ENERGY CORP,32183,2018Q1,3.9459999,4.1209998,.175,5.336,1090,0,US91733R1032,,0
AUSTRALIAN UNITY OFFICE PROP,321835,2018Q1,,580.453,203.856,370.76901,6798,,AU000000AOF3,BD9XQL3,0
CHINA DIGITAL VIDEO HOLDINGS,321839,2018Q1,,,,,7819,61.845001,KYG2118T1040,BD44F25,0
ISHARES RUSSELL 2500 ETF,32184,2018Q1,,,,,6722,,US46435G2681,,0
ALELION ENERGY SYSTEMS AB,321840,2018Q1,,141.744,34.339001,.98299998,3690,61.104,SE0008348072,BD3J1R8,0
HANGZHOU WEIGUANG ELECT,321841,2018Q1,827.00079,976.59741,118.628,118.325,3621,124.6037,CNE1000027J4,BD35080,0
BIOMAXIMA SA,321842,2018Q1,17.5401,31.344801,13.133,3.7300999,3845,7.9720998,PLBIOMX00015,B5W0MX9,0
EFIX DOM MAKLERSKI SA,321844,2018Q1,-1.2729003,8.3824997,2.0081999,9.0570002,6211,,PLEFIX000012,BCBJF37,0
ST PHARM CO LTD,321851,2018Q1,341375.72,376359.81,33755.004,9328,2833,28320.34,KR7237690003,BD0M3Q3,0
NEPTIS SA,321852,2018Q1,2.5342002,9.2545004,6.2210002,.1,3812,4.3916998,PLNEPTS00011,BKWPW06,0
PARCEL TECHNIK SA,321853,2018Q1,.10839999,14.1297,1.8200001,21.3997,3570,.47330001,PLBMRNG00013,B8H9DZ1,0
MOBILE PARTNER SA,321854,2018Q1,,2.0102999,.54500002,12.6226,7372,,PLMBLPR00018,B5TYQW1,0
VAKOMTEK SA,321855,2018Q1,8.4708004,15.3047,6.8239999,8,5000,4.6457,PLVKMTK00015,BH3H006,0
EXAMOBILE SA,321856,2018Q1,1.0447,1.0684,.018999999,.145,7372,.1893,PLEXMBL00010,B7XPR43,0
HAESUNG DS CO LTD,321857,2018Q1,178133.83,297189.88,116270.32,85000,3674,87946.68,KR7195870001,BZCFTJ9,0
SHENZHEN SHENGXUNDA TECH,321859,2018Q1,1062.6172,1472.1604,372.19501,93.339996,7372,63.347801,CNE1000027S5,BYQ3LR4,0
KOGAN.COM LTD,321860,2018Q1,42.032299,109.1325,61.512001,167.1546,5961,104.8109,AU000000KGN2,BYYY339,0
GOLDEN BRIA HOLDINGS INC,321865,2018Q1,,14488.918,9736.0195,644.11798,6552,,PHY2745E1083,BFD2580,0
LI BAO GE GROUP,321866,2018Q1,,,,,5812,101.612,,BD8CRN0,0
SHAVER SHOP GROUP LTD,321868,2018Q1,20.029102,108.8226,46.118999,50.008701,5990,46.7131,AU000000SSG4,BD03ZP9,0
LITHIUM POWER INTERNATIONAL,321869,2018Q1,,73.277802,10.959,73.117798,1000,,AU000000LPI1,BYV9P53,0
PROSPORTS SPONSORS ETF,32187,2018Q1,,,,,6722,,US30151E8892,,0
XINYI AUTOMOBILE GLASS HKG,321874,2018Q1,,,,,7500,26.959999,KYG9830W1096,BDC73M2,0
PRINCIPAL SPCTM PF SC AC ETF,32188,2018Q1,,,,,6722,,US74255Y8883,,0
PT DUTA INTIDAYA TBK,321880,2018Q1,,303197.22,147340.48,242054.7,5990,116280.42,ID1000137300,BD44DY3,0
GRAHA ANDRASENTRA,321881,2018Q1,2274468.3,3916681.5,1642078.5,2258191,7996,67686.828,ID1000137409,BDC6XH4,0
HARSON TRADING (CHINA) CO,321882,2018Q1,1172.4993,1447.6029,267.461,217.36,3140,396.88391,CNE1000029H4,BD35057,0
HOLSIN ENGINEERING CONSULT,321883,2018Q1,500.65643,1027.0461,387.61499,102.5,8711,76.835297,CNE100002862,BYM3V12,0
WUXI HONGHUI NEW MATERIALS,321884,2018Q1,579.38641,670.52551,49.278999,108.35,2820,110.6065,CNE1000027K2,BDB48W9,0
PLANIGRUPO LATAM SAB DE CV,321885,2018Q1,,14041.118,8800.9521,4253.709,6512,,MX01PL0P0007,BD067Z2,0
MAXFAST PROPERTIES AB,321886,2018Q1,,1453.462,892.51703,560.94501,6512,,SE0008406417,BD6KR36,0
CHANGE FINANCIAL LTD,321887,2018Q1,4.6808,6.3532,.61199999,26.474001,7374,.21439999,AU000000CCA5,BDC6V69,0
ROTHWELL INTERNATIONAL CO,321889,2018Q1,209408.67,297024.84,87400.977,114579,8721,51830.914,HK0000295359,BZCFTK0,0
MARLBOROUGH WINE ESTATES,321891,2018Q1,13.7457,21.68,6.6300001,15.1746,2084,.47189999,NZMWEE0001S6,BD6JZ06,0
SHIN FOONG SPECIALTY,321892,2018Q1,3265.8269,3708.405,438.55301,1042.641,2820,911.09998,TW0006582000,BDC6XC9,0
WUXI NEW HONGTAI ELECTRICAL,321893,2018Q1,814.82251,929.93732,82.633003,148.16,3679,95.019096,CNE100002870,BDCCLW3,0
MPAY SA,321894,2018Q1,2.6890001,9.2740002,3.994,7.3200002,7374,2.839,PLMPAY000017,B6ZT6M7,0
BIOMASS ENERGY PROJECT SA,321895,2018Q1,,22.670799,8.9420004,1.6875,100,.61140001,PLBMSEP00011,B7HKL86,0
ALT TELECOM PCL,321900,2018Q1,1772.4188,3448.1194,1661.4351,504.50031,3663,239.6188,TH7312010005,BZCFD42,0
AMSKY TECHNOLOGY CO LTD,321902,2018Q1,489.07373,547.53943,50.826,144,3555,31.8577,CNE1000027W7,BD31M59,0
SUZHOU SUNMUN TECHNOLGY CO,321904,2018Q1,575.78583,655.34021,50.618999,120.006,2851,72.768402,CNE1000027X5,BD00L85,0
TPL PROPERTIES LTD,321905,2018Q1,,7096.6421,2660.5037,2735.1138,6510,,PK0110601017,BD20C02,0
WORLDGATE GLOBAL LOGISTICS,321908,2018Q1,,,,,4731,16.858999,,BD9GZL5,0
CHINA GOLDEN CLASSIC GROUP,321909,2018Q1,,,,,2844,69.492996,KYG2119E1061,BD9GZM6,0
AIRMARKET SA,321912,2018Q1,,22.0214,3.77,10.3835,7372,,PLAIRMK00017,B58V4V8,0
ONE MORE LEVEL SA,321913,2018Q1,-.033698916,37.646801,1.722,5.3516002,8090,.2104,PLLSRMD00018,B6YVXH8,0
CEMEX HOLDINGS PHILIPPINES,321914,2018Q1,1869.2441,52758.973,23030.035,5195.395,3241,5891.2588,PHY1244L1009,BYXQ1W1,0
SHANDONG LINGLONG TYRE CO,321915,2018Q1,8577.4902,21374.908,12283.511,1200,3011,3512.0715,CNE100002GM3,BYQ83C8,0
YOGAWORKS INC,32192,2018Q1,17.546,65.448997,14.497,.016000001,7990,15.53,US9860051062,,0
PEXA AB,321920,2018Q1,15.316299,17.305599,1.721,1.1532,3826,.639,SE0007412374,BYSPNH2,0
SHANDONG FENGYUAN CHEMICAL,321923,2018Q1,543.99719,739.53668,162.133,96.913803,2860,71.770699,CNE1000027M8,BDC6880,0
GUOCHUANG SOFTWARE CO LTD,321924,2018Q1,558.45483,1104.5465,534.85999,202.39999,7372,120.5282,CNE1000027V9,BDC6891,0
BT WEALTH INDUSTRIES PCL,321925,2018Q1,1361.035,1742.26,373.552,378,3440,341.85599,TH7319010008,BD07JX7,0
CALYXT INC,32193,2018Q1,53.859997,71.866997,18.007,.003,2836,.011,US13173L1070,,0
UNITED GLOBAL LTD,321935,2018Q1,34.924999,58.494999,22.837999,21.424999,2990,30.972,SG1CJ6000007,BD9H0L3,0
HAINAN HAIQI TRANSPORTATION,321940,2018Q1,847.85645,1909.2922,814.383,316,4100,312.07819,CNE1000029C5,BYYNJS3,0
SCOTTISH PACIFIC GROUP LTD,321941,2018Q1,48.355011,1265.934,1063.278,206.959,6153,,AU000000SCO2,BZ01900,0
ASTRUM FINANCIAL HOLDINGS,321943,2018Q1,,,,,6211,,KYG059551021,BD9GZY8,0
XIAMEN JIHONG PACKAGE TECH,321947,2018Q1,408.34775,1087.381,631.35303,116,2650,422.42841,CNE1000027L0,BD31MB5,0
BIOLOG DEVICE CO LTD,321948,2018Q1,39485.492,67237.523,25428.188,2740.251,3670,21282.48,KR7208710004,BTLWMJ0,0
CAPITAL FIN INDONESIA(PT),321955,2018Q1,5839289,12743082,6888678.5,5425398.5,6311,,ID1000137508,BD09PF7,0
KOREA ASSET IN TRUST CO LTD,321957,2018Q1,512434.47,841778.5,326947.56,51369.945,6798,,KR7123890006,BD6NPN1,0
B3 CONSULTING GROUP AB,321961,2018Q1,-30.100006,401.5,282.60001,.69999999,7370,183.8,SE0008347660,BDB7JD6,0
GARDA CAPITAL GROUP,321962,2018Q1,19.342999,32.356998,12.64,17.371,6200,,AU000000GCM1,BZ4FW76,0
JANGWON TECH CO LTD,321963,2018Q1,55616.598,83292.063,26678.369,3022.5,3679,17941.371,KR7174880005,BZ76T86,0
DAYOU WINIA CO LTD,321968,2018Q1,70952.961,348827.28,271977.69,17983.648,3630,60390.852,KR7071460000,BD0CV70,0
ISHARES EDGE HI YD DF BD ETF,32197,2018Q1,,,,,6722,,US46435G2509,,0
FIRE ROCK HOLDINGS LTD,321971,2018Q1,,,,,7372,32.8507,KYG3524S1021,BYQ8KV6,0
GREENBAY PROPERTIES LTD,321972,2018Q1,,955.13818,36.9128,917.71899,6512,,MU0461N00007,BVDPHN0,0
HI-LAI FOODS CO LTD,321973,2018Q1,2008.0171,3259.1521,1233.407,379.91,5812,979.45398,TW0001268001,BZ0RS89,0
TRANSART GRAPHICS CO LTD,321976,2018Q1,1292.1599,1513.71,199.231,666.01898,2750,262.69,TW0008481003,BYSJK73,0
PROCURRI CORP,321978,2018Q1,51.243004,140.237,75.045998,71.086998,5045,49.492001,SG1DA4000006,BZBG4H6,0
HAIBO HEAVY ENGINEERING SCI,321979,2018Q1,553.93158,1029.4137,408.504,102.4,1700,41.846001,CNE100002805,BYQ3LP2,0
ISHARES EDGE IN GR EN BD ETF,32198,2018Q1,,,,,6722,,US46435G2194,,0
ENAV SPA,321980,2018Q1,990.35602,1919.078,804.91101,1114.167,4581,170.918,IT0005176406,BD0CRV6,0
LIDA HOLDINGS LTD,321985,2018Q1,5146.2241,6523.4512,1313.14,1000,3564,1887.308,KYG5479W1033,BYZWVN8,0
OVENTUS MEDICAL LTD,321986,2018Q1,17.4611,18.7071,.64700001,29.6404,3841,.067900002,AU000000OVN3,BD8CRV8,0
ROOTFRUIT SCANDINAVIA AB,321988,2018Q1,9.0419989,20.233999,11.156,1.225,2090,9.849,SE0006260865,BRJFQ40,0
INVESCO S&P 500 MIN VAR ETF,32199,2018Q1,,,,,6722,,US46138E3475,,0
SYNACT PHARMA AB,321990,2018Q1,9.1974001,14.3716,4.0999999,1.5522,2836,,SE0008241491,BD974S8,0
NFO DRIVES AB,321991,2018Q1,19.948999,25.8389,4.9829998,11.9003,3620,7.1838999,SE0000312068,B0JTM34,0
ALTYNEX CO JSC,321992,2018Q1,17130.498,24087.811,6907.8359,8515.0557,1000,2707.377,KZ1C00001171,BY7R7R7,0
CONSTANCE HOTELS SERVICES,321993,2018Q1,4988.333,12132.822,6026.417,2153.395,7011,1309.299,MU0155I00005,B00PVL2,0
DABOMB PROTEIN CORP,321994,2018Q1,630.89404,948.40802,315.33499,256.73801,2834,152.623,TW0006578008,BD9XWQ0,0
CHINA FILM CO LTD,321996,2018Q1,11303.447,16881.02,5475.7598,1867,7812,2197.3611,CNE100002GX0,BZ5YBS6,0
OPPENHEIMER GLOBAL REVEN ETF,32200,2018Q1,,,,,6722,,US68386C7653,,0
RAYBASED AB,322000,2018Q1,,30.780701,8.6289997,1.1955,3812,1.1766,SE0007698121,BD61524,0
DANCOMECH HOLDINGS BHD,322001,2018Q1,,122.787,10.632,67.033997,5080,17.795,MYL5276OO000,BD0FHK4,0
KLON SA,322003,2018Q1,22.940197,47.619598,24.186001,2.0929999,2400,5.1556001,PLKLON000010,B4MZN56,0
VIBROSENSE DYNAMICS AB,322005,2018Q1,,13.0709,1.9910001,.89600003,3845,.099299997,SE0006852125,BWB8V92,0
CAVMONT CAPITAL HOLDINGS,322008,2018Q1,,1142.501,1024.738,149.554,6020,,ZM0000000227,B0TBGH2,0
OPPENHEIMER EMRG MKT RV ETF,32201,2018Q1,,,,,6722,,US68386C8644,,0
SELVAS HEALTHCARE INC,322011,2018Q1,12287.513,55053.355,30645.316,6573.5361,3845,5320.0752,KR7208370007,BTHH0L7,0
ZHAOQING HUAFENG ELECTRONIC,322016,2018Q1,364.1243,678.23779,286.897,137.1051,3620,105.5726,CNE1000027Z0,BD0G2R9,0
INVESCO RUSSELL 1000 EQ ETF,32202,2018Q1,,,,,6722,,US46138E4382,,0
STRONGLED LIGHTING SYSTEM,322020,2018Q1,954.164,1962.881,1008.032,370.10001,3640,520.75897,KYG853901059,BYXTYK9,0
NAVIG8 CHEMICAL TANKERS INC,322023,2018Q1,,1238.307,816.95203,.38499999,4400,41.047001,MHY6212R1045,BQ0PYX7,0
FUJIAN BOSS SOFTWARE DEVELOP,322026,2018Q1,405.4071,750.79138,259.27399,72.031998,7372,39.875301,CNE100002CG4,BYZP1L5,0
BEIJING GLOBAL SAFETY TECH,322028,2018Q1,893.69489,1310.9746,362.17001,144,7372,103.6292,CNE100002813,BYXL353,0
OPPENHEIMER INTERNTNL RV ETF,32203,2018Q1,,,,,6722,,US68386C7570,,0
WOORISON F&G CO LTD,322032,2018Q1,170792.84,320046.25,149243.55,34618.82,2011,49886.598,KR7073560005,BD0R2Q1,0
EKACHAI MEDICAL CARE PCL,322033,2018Q1,836.823,914.40198,75.453003,300,8062,139.20599,TH7344010007,BZ8W154,0
EC WORLD REIT,322034,2018Q1,,1537.916,806.70898,785.27502,6798,,SG1DA7000003,BD3DS80,0
MAHA ENERGY AB,322035,2018Q1,,95.003998,41.669998,.12,1311,7.4390001,SE0008374383,BD89M36,0
DAR ES SALAAM STOCK EXCHANGE,322036,2018Q1,17664.734,21062.385,3269.8,9529.6084,6200,,TZ1996102434,BD05BH9,0
GUANGDONG SUPER TELECOM CO,322037,2018Q1,455.28943,1676.8538,1068.3051,80,4812,216.0979,,BZ3CJX3,0
PROSHARES EQTS FR RS RTS ETF,32204,2018Q1,,,,,6722,,US74347B3915,,0
BUSINESS ALIGNMENT PCL,322040,2018Q1,560.94696,847.979,286.75201,200,5047,101.57,TH7349010002,BD1X3J8,0
DUAL CO LTD,322041,2018Q1,103492.67,341009.91,185146.88,45589.965,3714,115166.09,KR7016740003,BDBDLW7,0
AHMAD HASSAN TEXTILE MILLS,322048,2018Q1,1810.2177,4080.8228,2269.9819,144.0825,2200,1106.2246,PK0050201018,6010490,0
ISHARES ESG USD CORP BD ETF,32205,2018Q1,,,,,6722,,US46435G1931,,0
SANXIANG ADVANCED MATERIALS,322051,2018Q1,463.08942,617.78912,128.25999,135.709,2810,144.793,CNE1000030V3,BYXVJY4,0
BANK OF JIANGSU CO LTD,322055,2018Q1,115689.4,1797640.4,1681326.9,11544.45,6020,,CNE100002G76,BDC68B3,0
CHINA DIVE COMPANY LTD,322058,2018Q1,479.06842,877.7536,345.41299,171.4648,3949,103.1806,CNE100002987,BYZP1M6,0
JAFRON BIOMEDICAL CO LTD,322059,2018Q1,1435.5273,1802.4214,318.245,417.586,3842,206.5544,CNE100002995,BYV5TY8,0
CHINA JINJIANG ENVIRONMENT,322067,2018Q1,2688.8728,13007.043,8013.0962,.081,4953,754.86798,KYG2119H1092,BD1R624,0
HSS ENGINEERS BHD,322073,2018Q1,21.38501,472.16,155.328,254.291,8711,34.011002,MYQ0185OO007,BYZKLK9,0
CHINA HARZONE INDUSTRY CORP,322074,2018Q1,1789.7238,2950.114,952.74298,485.83499,3530,325.42401,CNE100002CH2,BDDW0X6,0
PROPERTYLINK GROUP,322075,2018Q1,587.81299,886.86298,294.48401,5.3639998,6500,,AU000000PLG5,BD3GKR2,0
UHY ECA SA,322076,2018Q1,2.9280002,15.4735,3.983,2.5938001,8721,2.7742,PLAUXLM00026,B283BH8,0
ABS INVESTMENT SA,322078,2018Q1,,27.8356,6.8927002,8,6282,,PLABSIN00012,B3NP0T1,0
ECHOMARKETING CO LTD,322079,2018Q1,61001.074,94271.813,22045.26,1619.894,7310,8850.5117,KR7230360000,BD1WY58,0
EPE CAPITAL PARTNERS LTD,322080,2018Q1,,1918.329,4.3200002,1800.075,6799,,MU0522S00005,BZ8VS94,0
EUROSYSTEM SA,322081,2018Q1,1.0191997,5.3072,4.1090002,.43189999,1700,.13519999,PLEURSS00014,B5ZZRD6,0
FOREVER ENTERTAINMENT SA,322082,2018Q1,4.8171005,8.9651003,1.459,10.88,7372,1.0010999,PLFRENT00014,B3VZYZ7,0
IGORIA TRADE SA,322084,2018Q1,.77219582,92.013397,88.456001,2.2,7370,.96069998,PLIGRTR00014,B6XBRS8,0
MARKA SA,322086,2018Q1,-4.4196982,28.8372,33.244598,4.0323,6141,,PLMARKA00014,B6TFNP3,0
MARSOFT SA,322087,2018Q1,-1.8689001,2.6117001,3.0510001,2.7138,4888,.4138,PLMRSFT00016,B2QTN27,0
OMNIJOI MEDIA CORP,322089,2018Q1,1515.4397,3308.7549,1255.759,372.60809,7812,490.69241,CNE100002CJ8,BYXY073,0
POLMAN SA,322090,2018Q1,7.3469996,12.025,4.493,3.3,7340,3.957,PLPOLMN00010,B29YPK1,0
GUANGDONG DAZHI ENVIRONMENT,322094,2018Q1,493.77551,547.07062,36.692001,70,2810,33.210602,CNE100002CK6,BYZH8F4,0
SHENZHEN UROVO TECHNOLOGY,322095,2018Q1,567.73407,883.21948,226.951,280,3578,122.4402,CNE100002CL4,BYYDX25,0
BEIJING CHANGJIU LOGISTICS,322098,2018Q1,2193.1938,4565.5859,2230.0659,400.01001,4731,1212.5964,CNE100002GG5,BZBG7Y4,0
AON PLC,3221,2018Q1,-4827,27847,22462,2,6411,3090,USG0408V1029,,0
LEGG MASON SML-CAP QU VL ETF,32210,2018Q1,,,,,6722,,US52468L8770,,0
PIEZOMOTOR UPPSALA AB,322100,2018Q1,57.557999,73.238998,13.809,6.0609999,3679,5.9200001,SE0008294102,BDD8F51,0
SEMPIO FOODS CO,322101,2018Q1,115199.51,199502.56,82820.875,2284.1431,2030,66410.148,KR7248170003,BD20Q99,0
SHANGHAI YAHONG MOULDING CO,322108,2018Q1,377.57248,550.53638,144.97701,100,2820,145.22,CNE1000030T7,BYYDX36,0
